danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.553,0.486,-12.544,0.944,0.833,0.0,0.958,0.607,84.16,507240,3,026UzDpMYz6eUPan6ERZBV
0.293,0.47,-16.454,0.0512,0.0584,0.877,0.143,0.0757,120.341,170845,4,027EHYg4QyKzJsl7XyaUH9
0.756,0.44,-13.345,0.0622,0.384,0.0,0.0905,0.77,133.033,189680,1,027gUK945JpipqZR8nJ41d
0.613,0.98,-3.874,0.076,0.00682,0.855,0.467,0.445,150.029,202917,0,027S4mJAWPzOs0l2oJ8mcY
0.657,0.685,-5.203,0.0334,0.0246,0.0,0.037,0.424,96.458,313533,1,029NqmIySn1kOY305AAhxT
0.643,0.436,-12.245,0.0273,0.724,0.459,0.11,0.422,91.485,200800,2,02a2RQEICEzbdPPYh0aLnJ
0.435,0.729,-4.818,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,0,02acUMylPHMjJ9miDc9b38
0.572,0.013,-22.725,0.083,0.98,0.931,0.112,0.181,132.125,198298,4,02aWFfloZhQ0QXTRpG1D3n
0.58,0.522,-8.615,0.0266,0.557,0.000428,0.0988,0.422,132.313,198467,2,02b4Ndz5u5JY3Ve512vNqd
0.707,0.346,-12.397,0.0251,0.69,0.145,0.1,0.49,85.094,295050,2,02BsTeJE4q5gWOTt58ur5U
0.682,0.629,-3.328,0.042,0.0147,0.000418,0.0918,0.603,109.035,179973,1,02bT4Tb5OOTiZ3t7NDru0D
0.617,0.5,-5.747,0.034,0.386,0.00521,0.107,0.516,90.026,168747,1,02BwlHD6hUNn3kzySLfqMq
0.781,0.632,-7.774,0.101,0.0185,4.79e-05,0.116,0.663,114.018,225494,1,02CkWazM7YqypIxYKy3iSy
0.326,0.115,-22.744,0.0359,0.244,0.806,0.335,0.074,119.926,156774,4,02CXPIbxZQD8utqIQBQ59A
